Broadcast Year,Broadcast Quarter,Service Type,Market, Total Quarterly Hours 
2024,Quarter 4,Subscription Video on Demand & Other,Quebec," 242,514,900 "
2025,Quarter 1,Broadcaster Video on Demand,Quebec," 25,519,250 "
2025,Quarter 1,Broadcaster Video on Demand,Ontario," 24,002,583 "
2025,Quarter 1,Free Ad-Supported TV,Ontario," 16,267,667 "
2025,Quarter 1,Free Ad-Supported TV,Quebec," 3,275,417 "
2025,Quarter 1,Linear TV,Quebec," 2,279,321,917 "
2025,Quarter 1,Linear TV,Ontario," 2,795,886,350 "
2025,Quarter 1,Social Media,Ontario," 1,379,274,467 "
2025,Quarter 1,Social Media,Quebec," 507,824,333 "
2025,Quarter 1,Subscription Video on Demand & Other,Quebec," 219,253,283 "
2025,Quarter 1,Subscription Video on Demand & Other,Ontario," 655,270,667 "
2025,Quarter 2,Broadcaster Video on Demand,Ontario," 27,015,733 "
2025,Quarter 2,Broadcaster Video on Demand,Quebec," 27,329,400 "
2025,Quarter 2,Free Ad-Supported TV,Quebec," 4,688,667 "
2025,Quarter 2,Free Ad-Supported TV,Ontario," 26,349,117 "
2025,Quarter 2,Linear TV,Quebec," 2,415,337,983 "
2025,Quarter 2,Linear TV,Ontario," 2,892,652,917 "
2025,Quarter 2,Social Media,Quebec," 522,612,433 "
2025,Quarter 2,Social Media,Ontario," 1,218,141,733 "
2025,Quarter 2,Subscription Video on Demand & Other,Quebec," 222,103,267 "
2025,Quarter 2,Subscription Video on Demand & Other,Ontario," 678,249,467 "
2025,Quarter 3,Broadcaster Video on Demand,Quebec," 28,580,767 "
2025,Quarter 3,Broadcaster Video on Demand,Ontario," 35,828,983 "
2025,Quarter 3,Free Ad-Supported TV,Quebec," 4,722,100 "
2025,Quarter 3,Free Ad-Supported TV,Ontario," 34,932,667 "
2025,Quarter 3,Linear TV,Quebec," 2,269,004,417 "
2025,Quarter 3,Linear TV,Ontario," 2,797,392,783 "
2025,Quarter 3,Social Media,Ontario," 971,237,333 "
2025,Quarter 3,Social Media,Quebec," 422,271,967 "
2025,Quarter 3,Subscription Video on Demand & Other,Quebec," 199,274,183 "
2025,Quarter 3,Subscription Video on Demand & Other,Ontario," 577,296,117 "
